sample_id,image_path,rel_path,label,label_id,original_label,split,source,fg_area_ratio,fg_area_ratio_valid,empty_space_ratio,empty_space_ratio_valid,bbox_area_ratio,bbox_area_ratio_valid,centroid_x_norm,centroid_x_norm_valid,centroid_y_norm,centroid_y_norm_valid,top_mass_ratio,top_mass_ratio_valid,bottom_mass_ratio,bottom_mass_ratio_valid,stroke_darkness_mean,stroke_darkness_mean_valid,stroke_darkness_std,stroke_darkness_std_valid,component_count_norm,component_count_norm_valid,skeleton_break_count_norm,skeleton_break_count_norm_valid,shading_ratio,shading_ratio_valid,unique_hue_count,unique_hue_count_valid,warm_ratio,warm_ratio_valid,dark_color_ratio,dark_color_ratio_valid,sharp_angle_ratio,sharp_angle_ratio_valid,dominant_orientation_abs,dominant_orientation_abs_valid,figure_integrity_proxy,figure_integrity_proxy_valid,phenotype_cluster,phenotype_distance
images_00000039,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\test\Happiness\101-1Q-181-F-H.jpg,Emotion/test/Happiness/101-1Q-181-F-H.jpg,Happy,0,Happiness,test,Dataset/Images,0.06884495913982391,1,0.9311550259590149,1,0.974609375,1,0.4804820716381073,1,0.5258533954620361,1,0.4256269633769989,1,0.5743730664253235,1,0.4783133566379547,1,0.3152327537536621,1,5.988863945007324,1,23.469871520996094,1,0.36927899718284607,1,9.0,1,0.48598214983940125,1,0.019358597695827484,1,0.09090909361839294,1,0.04802817851305008,1,0.33824673295021057,1,3,2.051124334335327
images_00000199,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\test\Happiness\104-4Z-530-F-H.jpg,Emotion/test/Happiness/104-4Z-530-F-H.jpg,Happy,0,Happiness,test,Dataset/Images,0.06554298847913742,1,0.934457004070282,1,1.0,1,0.5146763920783997,1,0.6697937846183777,1,0.3214520812034607,1,0.6785479187965393,1,0.4420102834701538,1,0.21056704223155975,1,9.441902160644531,1,31.94060707092285,1,0.19237734377384186,1,11.0,1,0.21914051473140717,1,0.002028660150244832,1,0.17115384340286255,1,0.10321194678544998,1,0.15899084508419037,1,2,1.838645100593567
images_00004453,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\207-6C-164-M-H.jpg,Emotion/train/Happiness/207-6C-164-M-H.jpg,Happy,0,Happiness,train,Dataset/Images,0.09418162703514099,1,0.9058183431625366,1,1.0,1,0.5664106011390686,1,0.43279582262039185,1,0.6408684849739075,1,0.3591315448284149,1,0.6227203607559204,1,0.27869799733161926,1,4.532113075256348,1,28.75733757019043,1,0.6935724020004272,1,11.0,1,0.3303985595703125,1,0.038754962384700775,1,0.19745223224163055,1,0.03442126885056496,1,0.4617576003074646,1,3,3.878662586212158
images_00005312,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\230-5H-707-M-H.jpg,Emotion/train/Happiness/230-5H-707-M-H.jpg,Happy,0,Happiness,train,Dataset/Images,0.17274905741214752,1,0.8272509574890137,1,1.0,1,0.4787542521953583,1,0.5998185276985168,1,0.36120307445526123,1,0.6387969255447388,1,0.38583847880363464,1,0.1765257716178894,1,47.533233642578125,1,100.03021240234375,1,0.03441813960671425,1,7.0,1,0.4068475365638733,1,0.0042083910666406155,1,0.15522770583629608,1,0.004137503448873758,1,0.34549811482429504,1,1,3.380734920501709
images_00003861,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\120-4B-1653-M-H.jpg,Emotion/train/Happiness/120-4B-1653-M-H.jpg,Happy,0,Happiness,train,Dataset/Images,0.05173083394765854,1,0.9482691884040833,1,0.8901124596595764,1,0.42456573247909546,1,0.5092830061912537,1,0.5250312685966492,1,0.47496870160102844,1,0.21108531951904297,1,0.1905531883239746,1,10.952607154846191,1,19.7470645904541,1,0.018982060253620148,1,7.0,1,0.6799262762069702,1,0.0015376813244074583,1,0.10439560562372208,1,0.021470099687576294,1,0.10346166789531708,1,0,2.7651686668395996
images_00008931,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Sadness\206-5C-780-M-S.jpg,Emotion/train/Sadness/206-5C-780-M-S.jpg,Sad,1,Sadness,train,Dataset/Images,0.14007467031478882,1,0.8599253296852112,1,1.0,1,0.4727567434310913,1,0.58795166015625,1,0.31033819913864136,1,0.6896618008613586,1,0.5181053280830383,1,0.3015248477458954,1,19.045665740966797,1,45.105316162109375,1,0.41664740443229675,1,11.0,1,0.3402462899684906,1,0.03183809667825699,1,0.08169440180063248,1,0.0329667404294014,1,0.28014934062957764,1,3,2.815692901611328
images_00007090,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Sadness\103-4P-1293-M-S.jpg,Emotion/train/Sadness/103-4P-1293-M-S.jpg,Sad,1,Sadness,val,Dataset/Images,0.05882035568356514,1,0.941179633140564,1,0.9346944093704224,1,0.4318642020225525,1,0.5818803906440735,1,0.3238855302333832,1,0.6761144995689392,1,0.3635396957397461,1,0.26085174083709717,1,5.503280162811279,1,27.246633529663086,1,0.13933223485946655,1,10.0,1,0.40646442770957947,1,0.008298083208501339,1,0.1607142835855484,1,0.25239500403404236,1,0.3424766957759857,1,3,2.375391960144043
images_00002293,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\103-3B-406-M-H.jpg,Emotion/train/Happiness/103-3B-406-M-H.jpg,Happy,0,Happiness,train,Dataset/Images,0.09819038957357407,1,0.9018096327781677,1,1.0,1,0.45556408166885376,1,0.5256063938140869,1,0.5543711185455322,1,0.4456288814544678,1,0.34215453267097473,1,0.25306180119514465,1,20.826139450073242,1,47.371376037597656,1,0.18358151614665985,1,8.0,1,0.03514225780963898,1,0.01153530739247799,1,0.16029143333435059,1,0.09255222976207733,1,0.19638077914714813,1,2,2.3745992183685303
images_00000529,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\test\Happiness\211-7D-5178-M-H.jpg,Emotion/test/Happiness/211-7D-5178-M-H.jpg,Happy,0,Happiness,test,Dataset/Images,0.04756021127104759,1,0.9524397850036621,1,0.5491086840629578,1,0.589866578578949,1,0.515529453754425,1,0.4844015836715698,1,0.5155984163284302,1,0.1825738102197647,1,0.08181285113096237,1,1.4567506313323975,1,10.089347839355469,1,0.00045377196511253715,1,2.0,1,0.9943658709526062,1,0.0006042817840352654,1,0.25,1,0.9627431631088257,1,0.5222828984260559,1,0,5.850162029266357
images_00004471,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\207-6D-544-F-H.jpg,Emotion/train/Happiness/207-6D-544-F-H.jpg,Happy,0,Happiness,val,Dataset/Images,0.07088980823755264,1,0.9291101694107056,1,0.900390625,1,0.5374900698661804,1,0.7887874841690063,1,0.0413273461163044,1,0.9586726427078247,1,0.5016390085220337,1,0.3195665776729584,1,3.938622236251831,1,19.53125,1,0.4676154851913452,1,11.0,1,0.6660102605819702,1,0.019768645986914635,1,0.17977528274059296,1,0.035601116716861725,1,0.44484850764274597,1,3,3.9281482696533203
