sample_id,image_path,label,label_id,split,source,confidence,sample_weight,sha256,width,height,prob_Happy,prob_Sad,prob_Angry,prob_Fear,fg_area_ratio,fg_area_ratio_valid,empty_space_ratio,empty_space_ratio_valid,bbox_area_ratio,bbox_area_ratio_valid,centroid_x_norm,centroid_x_norm_valid,centroid_y_norm,centroid_y_norm_valid,top_mass_ratio,top_mass_ratio_valid,bottom_mass_ratio,bottom_mass_ratio_valid,stroke_darkness_mean,stroke_darkness_mean_valid,stroke_darkness_std,stroke_darkness_std_valid,component_count_norm,component_count_norm_valid,skeleton_break_count_norm,skeleton_break_count_norm_valid,shading_ratio,shading_ratio_valid,unique_hue_count,unique_hue_count_valid,warm_ratio,warm_ratio_valid,dark_color_ratio,dark_color_ratio_valid,sharp_angle_ratio,sharp_angle_ratio_valid,dominant_orientation_abs,dominant_orientation_abs_valid,figure_integrity_proxy,figure_integrity_proxy_valid,phenotype_cluster,phenotype_distance
real_train_000000,C:\Users\alper\Desktop\CCDDA\Dataset\NewArts2\NewArts2\Angry\a96.jpeg,Angry,2,train,real:NewArts2,1.0,1.0,ddb077a772a9f8ee067c6e7d4f61f98d6129809d112054091fdc01f085137e47,192,262,,,,,0.08265744149684906,1,0.9173425436019897,1,0.3883587718009949,1,0.5086968541145325,1,0.4959124028682709,1,0.48821547627449036,1,0.5117844939231873,1,0.4124220609664917,1,0.3507191240787506,1,0.7951654195785522,1,19.680343627929688,1,0.4350649416446686,1,4.0,1,0.7974720001220703,1,0.02393447794020176,1,0.3499999940395355,1,0.9935626983642578,1,0.6255565881729126,1,2,6.502673625946045
real_train_000001,C:\Users\alper\Desktop\CCDDA\Dataset\data\Angry\a39.jpg,Angry,2,train,real:data,1.0,1.0,ddbb5a5e4a1d43970970cdeae80d6f50b602dda6731f746d925b1245e26d1041,640,640,,,,,0.04662841930985451,1,0.9533715844154358,1,0.49873292446136475,1,0.5111184120178223,1,0.4684883654117584,1,0.5683543682098389,1,0.43164563179016113,1,0.601058840751648,1,0.08827661722898483,1,8.8623046875,1,20.556640625,1,0.17273156344890594,1,3.0,1,0.9999735951423645,1,0.0010107421549037099,1,0.1274961531162262,1,0.4540468156337738,1,0.15014159679412842,1,0,4.551657676696777
real_train_000002,C:\Users\alper\Desktop\CCDDA\Dataset\data\Happy\h59.jpg,Happy,0,train,real:data,1.0,1.0,c15282623f96a2dc593fe358f110c4603c84a8c61b931896d61a4a4d29eb11c3,390,280,,,,,0.15638278424739838,1,0.8436172008514404,1,1.0,1,0.4838021695613861,1,0.4781903922557831,1,0.5118580460548401,1,0.4881419539451599,1,0.3444499969482422,1,0.2199234664440155,1,29.578754425048828,1,65.47618865966797,1,0.13327868282794952,1,14.0,1,0.4765818417072296,1,0.006556776352226734,1,0.16725559532642365,1,0.09746266901493073,1,0.31276556849479675,1,0,2.8164138793945312
real_train_000003,C:\Users\alper\Desktop\CCDDA\Dataset\data\Angry\a10.jpg,Angry,2,train,real:data,1.0,1.0,d6660b10095b992359af0788caaad9f5ebf1e9a0212cd01dd0349b734f919dc0,254,199,,,,,0.18964903056621552,1,0.8103509545326233,1,1.0,1,0.5029985308647156,1,0.4859258830547333,1,0.5513248443603516,1,0.44867515563964844,1,0.3885093927383423,1,0.18261943757534027,1,49.26205825805664,1,83.0926284790039,1,0.06655539572238922,1,9.0,1,0.6687005162239075,1,0.0044513908214867115,1,0.12240184843540192,1,0.1531284600496292,1,0.37929806113243103,1,0,3.1898653507232666
real_train_000004,C:\Users\alper\Desktop\CCDDA\Dataset\data\Happy\h92.jpeg,Happy,0,train,real:data,1.0,1.0,56b78fb9f1b3f65a95f0f8d4f6aff2ca3b9069d8c820fce9b81daaeee4503189,300,168,,,,,0.25382936000823975,1,0.7461706399917603,1,1.0,1,0.5346189141273499,1,0.5057974457740784,1,0.4629875719547272,1,0.5370124578475952,1,0.6641782522201538,1,0.20961715281009674,1,42.658729553222656,1,110.71428680419922,1,0.6363636255264282,1,13.0,1,0.41670626401901245,1,0.06382936239242554,1,0.12019230425357819,1,0.010528084821999073,1,0.5,1,3,1.8531454801559448
real_train_000005,C:\Users\alper\Desktop\CCDDA\Dataset\data\Sad\new_s4.jpg,Sad,1,train,real:data,1.0,1.0,92c0ebd97a4ed7ac3efaf50a40f0f843c71b8c4de52c2865c4e87328095572c6,259,194,,,,,0.09435576945543289,1,0.9056442379951477,1,0.8715519905090332,1,0.4795796871185303,1,0.5299428105354309,1,0.4568656384944916,1,0.543134331703186,1,0.25026488304138184,1,0.14025361835956573,1,24.081518173217773,1,48.95912170410156,1,0.026365745812654495,1,10.0,1,0.3238866329193115,1,7.96083259047009e-05,1,0.16157205402851105,1,0.044447384774684906,1,0.18871153891086578,1,1,2.772433280944824
real_train_000006,C:\Users\alper\Desktop\CCDDA\Dataset\data\Angry\a2.jpg,Angry,2,train,real:data,1.0,1.0,7e9e737e64634a185e98e12f9519f1b2364e4c3ea516c625b139232561034f6e,612,415,,,,,0.36230412125587463,1,0.6376959085464478,1,1.0,1,0.5160591006278992,1,0.4822079837322235,1,0.5207459330558777,1,0.4792540669441223,1,0.6665084958076477,1,0.22447794675827026,1,27.403732299804688,1,134.73501586914062,1,0.7319654822349548,1,18.0,1,0.5243467092514038,1,0.24510985612869263,1,0.20252366364002228,1,0.02898821048438549,1,0.5,1,3,3.629147529602051
real_train_000007,C:\Users\alper\Desktop\CCDDA\Dataset\data\Fear\f26.jpg,Fear,3,train,real:data,1.0,1.0,5f18da9ce508ae6d024671e9a0c6c844e920524ad3e21cd89604cbe4c1efd60f,230,148,,,,,0.270652174949646,1,0.729347825050354,1,1.0,1,0.4598742723464966,1,0.6502496600151062,1,0.25333768129348755,1,0.7466623187065125,1,0.6966834664344788,1,0.21051381528377533,1,34.66510009765625,1,143.06698608398438,1,0.8237273693084717,1,6.0,1,0.04394666850566864,1,0.012162161991000175,1,0.1964285671710968,1,0.08327202498912811,1,0.5,1,3,4.901564598083496
real_train_000008,C:\Users\alper\Desktop\CCDDA\Dataset\NewArts2\NewArts2\Angry\a31.jpg,Angry,2,train,real:NewArts2,1.0,1.0,2eb601aac28e43e81f6d7bd6c5f0253411b2850a0e364fb540768811b25e584f,640,640,,,,,0.07312744110822678,1,0.9268725514411926,1,0.9782421588897705,1,0.4905930757522583,1,0.3783147633075714,1,0.7375888824462891,1,0.26241111755371094,1,0.7805460095405579,1,0.11689392477273941,1,2.63671875,1,13.4521484375,1,0.8328381180763245,1,5.0,1,0.9927664399147034,1,0.2011425793170929,1,0.095238097012043,1,0.6250936985015869,1,0.5144189596176147,1,2,5.460352897644043
real_train_000009,C:\Users\alper\Desktop\CCDDA\Dataset\data\Sad\s86.jpeg,Sad,1,train,real:data,1.0,1.0,ece492cb7e55f4557c798031aedaaa2084c529a553604c131bef8024b9383394,194,259,,,,,0.04515782371163368,1,0.9548421502113342,1,0.8120049238204956,1,0.4325171709060669,1,0.3753494620323181,1,0.6897311806678772,1,0.3102688491344452,1,0.489091694355011,1,0.10229768604040146,1,19.105998992919922,1,26.66878890991211,1,0.020713970065116882,1,5.0,1,0.03957382217049599,1,0.000915495736990124,1,0.13235294818878174,1,0.8312763571739197,1,0.09031564742326736,1,0,4.23028564453125
